drug_1,drug_2,drug_3,diluent,classification,qualifiers,reference_ids
oxyocodone,haloperidol ##,midazolam,NaCl,7,"H, O","1, 2, 4"
oxyocodone,haloperidol ##,octreotide,NaCl,1,"H, O","1, 2, 4"
oxyocodone,hyoscine butylbromide,Levomepromazine,NaCl,6,O,"1, 2, 4"
oxyocodone,hyoscine butylbromide,Midazolam,NaCl,1,O,"1, 2, 4"
oxyocodone,hyoscine butylbromide,Octreotide,NaCl,1,O,4
oxyocodone,hyoscine butylbromide,Ranitidine,NaCl,1,O,4
oxyocodone,ketamine,Levomepromazine,NaCl,1,O,"1, 4"
oxyocodone,ketamine,Metoclopramide,NaCl,1,O,4
oxyocodone,ketamine,Midazolam,NaCl,1,O,"1, 4"
oxyocodone,ketamine,Octreotide,NaCl,1,O,4
oxyocodone,ketorolac,ranitidine,NaCl,6,O,2
oxyocodone,levetiracetam,midazolam,NaCl,1,O,6
oxyocodone,levomepromazine,Midazolam,NaCl,7,O,"1, 2, 4"
oxyocodone,levomepromazine,Octreotide,NaCl,6,O,"1, 2, 4"
oxyocodone,levomepromazine,Ondansetron,NaCl,1,O,"2, 4"
oxyocodone,levomepromazine,Ranitidine,NaCl,1,O,4
oxyocodone,metoclopramide,Midazolam,NaCl,7,O,"1, 2, 4"
oxyocodone,metoclopramide,Octreotide,NaCl,1,O,2
oxyocodone,metoclopramide,Ondansetron,NaCl,1,O,2
oxyocodone,metoclopramide,Ranitidine,NaCl,2,O,4
oxyocodone,midazolam,Octreotide,NaCl,1,O,2
oxyocodone,midazolam,Ondansetron,NaCl,1,O,"1, 2"
oxyocodone,midazolam,Ranitidine,NaCl,3,O,4
oxyocodone,octreotide,ondansetron,NaCl,6,O,"1, 2, 4"
clonazepam #,cyclizine,midazolam,WFI,2,C,4
clonazepam #,haloperidol ##,hyoscine butylbromide,WFI,1,"C, H",4
cyclizine,glycopyrronium bromide (glycopyrrolate),haloperidol ##,WFI,1,H,4
cyclizine,haloperidol ##,hyoscine butylbromide,WFI,3,H,1
cyclizine,haloperidol ##,midazolam,WFI,1,H,"1, 2"
cyclizine,haloperidol ##,octreotide,WFI,2,H,4
cyclizine,haloperidol ##,ranitidine,WFI,1,H,4
cyclizine,hyoscine butylbromide,midazolam,WFI,3,,1
cyclizine,levomepromazine,octreotide,WFI,2,,4
cyclizine,metoclopramide,octreotide,WFI,2,,2
glycopyrronium bromide (glycopyrrolate),ketamine,midazolam,WFI,1,,1
glycopyrronium bromide (glycopyrrolate),levomepromazine,midazolam,WFI,1,,"2, 4"
glycopyrronium bromide (glycopyrrolate),levomepromazine,octreotide,WFI,1,,"1, 2, 4"
haloperidol ##,hyoscine butylbromide,midazolam,WFI,6,H,"1, 2, 4"
haloperidol ##,hyoscine butylbromide,ranitidine,WFI,1,H,4
haloperidol ##,ketamine,midazolam,WFI,1,"H, S","1, 4"
hyoscine butylbromide,levetiracetam,midazolam,WFI,1,,4
hyoscine butylbromide,levomepromazine,midazolam,WFI,1,,4
hyoscine butylbromide,levomepromazine,octreotide,WFI,1,S,"2, 4"
hyoscine butylbromide,levomepromazine,ranitidine,WFI,2,,4
hyoscine butylbromide,metoclopramide,octreotide,WFI,1,,4
hyoscine butylbromide,octreotide,ondansetron,WFI,1,,4
ketamine,levomepromazine,midazolam,WFI,1,,4
levomepromazine,midazolam,ondansetron,WFI,1,,4
levomepromazine,octreotide,ranitidine,WFI,3,,4
metoclopramide,midazolam,ranitidine,WFI,2,,4
clonazepam #,levomepromazine,ondansetron,NaCl,1,C,4
glycopyrronium bromide (glycopyrrolate),haloperidol##,ondansetron,NaCl,1,H,2
glycopyrronium bromide (glycopyrrolate),levomepromazine,midazolam,NaCl,1,,2
glycopyrronium bromide (glycopyrrolate),levomepromazine,octreotide,NaCl,1,,"1, 2"
haloperidol ##,hyoscine butylbromide,midazolam,NaCl,2,H,"1, 2"
haloperidol ##,hyoscine butylbromide,octreotide,NaCl,2,H,4
haloperidol ##,hyoscine butylbromide,ranitidine,NaCl,2,H,4
haloperidol ##,ketamine,midazolam,NaCl,1,H,2
haloperidol ##,midazolam,octreotide,NaCl,1,H,"2, 4"
hyoscine butylbromide,ketamine,levomepromazine,NaCl,1,,"1, 4"
hyoscine butylbromide,ketorolac,octreotide,NaCl,1,,1
hyoscine butylbromide,levetiracetam,levomepromazine,NaCl,1,,4
hyoscine butylbromide,levomepromazine,octreotide,NaCl,1,,"1, 4"
hyoscine butylbromide,levomepromazine,ondansetron,NaCl,1,,4
hyoscine butylbromide,levomepromazine,ranitidine,NaCl,2,,4
hyoscine butylbromide,metoclopramide,midazolam,NaCl,6,,2
hyoscine butylbromide,midazolam,octreotide,NaCl,1,,4
hyoscine butylbromide,octreotide,ondansetron,NaCl,1,,4
hyoscine butylbromide,octreotide,ranitidine,NaCl,1,,4
ketamine,levomepromazine,midazolam,NaCl,1,,4
levomepromazine,midazolam,octreotide,NaCl,1,,"1, 2"
levomepromazine,octreotide,ondansetron,NaCl,1,,2
levomepromazine,octreotide,ranitidine,NaCl,3,,4
metoclopramide,midazolam,ranitidine,NaCl,2,,4
metoclopramide,octreotide,ondansetron,NaCl,1,,2
metoclopramide,octreotide,ranitidine,NaCl,1,,4
